,Symbol,Price,Type,Strike,Exp Date,DTE,Bid,Ask,Last,Volume,Open Int,Vol/OI,IV,Time,DTE in years,Risk free,IV_brenner
0,A,88.68,Call,90.0,07/17/20,15,1.2,1.7,1.25,14,1228,0.01,25.11,07/02/20,0.0410958904109589,0.0079,23.703581663071528
1,A,88.68,Call,87.5,07/17/20,15,2.5,2.8,2.83,11,260,0.04,30.31,07/02/20,0.0410958904109589,0.0079,39.041193327411925
2,AA,10.97,Call,16.0,07/17/20,15,0.0,0.05,0.01,45,12351,0.0,0.0,07/01/20,0.0410958904109589,0.0079,5.63578106569034
3,AAP,141.84,Call,145.0,07/17/20,15,2.3,2.75,2.55,7,134,0.05,33.61,07/02/20,0.0410958904109589,0.0079,23.973128214779095
4,AAP,141.84,Call,150.0,07/17/20,15,0.95,1.1,0.98,39,781,0.05,31.34,07/02/20,0.0410958904109589,0.0079,9.589251285911638
5,AAP,141.84,Call,155.0,07/17/20,15,0.25,0.5,0.4,11,155,0.07,32.3,07/02/20,0.0410958904109589,0.0079,4.35875058450529
6,AAP,141.84,Call,160.0,07/17/20,15,0.05,0.2,0.19,26,166,0.16,34.64,07/02/20,0.0410958904109589,0.0079,1.7435002338021162
7,AAPL,364.11,Call,390.0,11/20/20,141,15.35,17.9,16.9,12,1387,0.01,29.16,07/02/20,0.3863013698630137,0.0040999999999999995,19.826553871720947
8,AAPL,364.11,Call,430.0,11/20/20,141,4.2,7.15,6.6,9,688,0.01,28.03,07/02/20,0.3863013698630137,0.0040999999999999995,7.919545261609207
9,AAPL,364.11,Call,385.0,11/20/20,141,18.5,21.1,18.9,59,338,0.17,29.49,07/02/20,0.3863013698630137,0.0040999999999999995,23.37096573705654
10,AAPL,364.11,Call,400.0,11/20/20,141,12.0,15.8,13.6,26,840,0.03,28.84,07/02/20,0.3863013698630137,0.0040999999999999995,17.50053358509447
11,AAPL,364.11,Call,420.0,11/20/20,141,6.0,10.05,8.4,8,551,0.01,28.14,07/02/20,0.3863013698630137,0.0040999999999999995,11.131668514569585
12,AAPL,364.11,Call,410.0,11/20/20,141,8.3,11.4,12.48,7,273,0.03,30.66,07/02/20,0.3863013698630137,0.0040999999999999995,12.626967270258035
13,AAPL,364.11,Call,435.0,09/18/20,78,0.97,3.9,2.76,6,106,0.06,30.12,07/02/20,0.2136986301369863,0.0045000000000000005,5.807925881483112
